 year | num_sets 
------+----------
 2014 |      713
 2015 |      665
 2012 |      615
 2016 |      596
 2013 |      593
 2011 |      503
 2002 |      447
 2010 |      444
 2003 |      415
 2009 |      402
 2004 |      371
 2008 |      349
 2001 |      339
 2005 |      330
 2000 |      327
 1998 |      325
 2007 |      321
 1999 |      300
 2017 |      296
 2006 |      283
 1987 |      209
 1997 |      192
 1996 |      144
 1985 |      139
 1994 |      128
 1995 |      128
 1986 |      123
 1992 |      115
 1989 |      115
 1993 |      111
 1991 |      107
 1977 |       92
 1966 |       89
 1980 |       88
 1990 |       85
 1979 |       82
 1981 |       79
 1984 |       76
 1982 |       76
 1978 |       73
 1969 |       69
 1988 |       68
 1976 |       68
 1973 |       67
 1983 |       57
 1971 |       45
 1958 |       42
 1962 |       40
 1974 |       39
 1972 |       38
 1975 |       31
 1970 |       29
 1955 |       28
 1968 |       25
 1957 |       21
 1967 |       21
 1963 |       18
 1961 |       17
 1954 |       14
 1956 |       12
 1964 |       11
 1965 |       10
 1950 |        7
 1959 |        4
 1953 |        4
 1960 |        3
(66 rows)

