          themes_name          |    colors_name    | total_quantity 
-------------------------------+-------------------+----------------
 12V                           | Black             |           2520
 4.5V                          | Black             |           3243
 4 Juniors                     | White             |             48
 9V                            | Black             |           4122
 Advent                        | Red               |            132
 Advent Sub-Set                | Red               |            172
 Adventurers                   | Black             |              9
 Agents                        | Black             |           1391
 Agori                         | Black             |             14
 Airjitzu                      | Black             |            250
 Airport                       | White             |           7104
 Alien Conquest                | Light Bluish Gray |            497
 Alpha Team                    | Black             |            293
 Angry Birds                   | Light Bluish Gray |            559
 Animals                       | White             |            137
 An Unexpected Journey         | Reddish Brown     |            665
 Aquanauts                     | Yellow            |            469
 Aquaraiders I                 | Black             |            235
 Aquaraiders II                | Black             |            738
 Aquasharks                    | Black             |            283
 Aquazone                      | Chrome Silver     |              9
 Architecture                  | White             |           4646
 Arctic                        | Black             |            681
 Arctic Technic                | Light Gray        |            380
 Atlantis                      | Black             |           1156
 Avatar                        | Dark Bluish Gray  |            391
 Avengers                      | Black             |           1995
 Barraki                       | Black             |             85
 Basic                         | Red               |           6077
 Basic Model                   | Black             |            467
 Basic Set                     | Red               |          20235
 Basketball                    | Red               |            333
 Batman                        | Black             |           7638
 Battle Vehicles               | Black             |           1270
 Belville                      | White             |             60
 Ben 10                        | Dark Blue         |             17
 Bionicle                      | Black             |           1063
 Black Falcons                 | Light Gray        |            669
 Black Knights                 | Black             |            865
 Blacktron I                   | Black             |           1577
 Blacktron II                  | Black             |            728
 Boat                          | White             |           1176
 Bohrok                        | Black             |            115
 Bohrok-Kal                    | Light Gray        |             66
 Bohrok Va                     | Black             |            170
 Books                         | Black             |            336
 Brickheadz                    | Black             |            355
 Bricktober                    | Trans-Clear       |            243
 Building                      | White             |           2929
 Building Set with People      | Red               |           1516
 Bulk Bricks                   | Black             |           1462
 Cargo                         | Black             |           1020
 Cars                          | Black             |           1215
 Castle                        | Black             |           1244
 Chamber of Secrets            | Black             |            513
 Christmas                     | White             |           2083
 City                          | Black             |           2381
 Classic                       | White             |            756
 Classic Basic                 | Red               |           2400
 Classic Castle                | Yellow            |           1112
 Classic Space                 | Light Gray        |           3076
 Classic Town                  | Red               |              8
 Clikits                       | Trans-Dark Pink   |            533
 Coast Guard                   | White             |           1339
 Collectible Minifigures       | Yellow            |             75
 Competition                   | Black             |           3140
 Constraction                  | Black             |            332
 Construction                  | Black             |          16891
 Control Lab                   | Dark Gray         |              1
 Control Lab                   | Black             |              1
 Cowboys                       | Black             |            792
 Creator                       | White             |           7051
 Creature                      | Black             |            814
 Crusaders                     | Light Gray        |            283
 Dark Forest                   | Black             |            301
 Desert                        | Black             |            696
 Designer Sets                 | Black             |           1796
 DFB Minifigures               | White             |             47
 Dimensions                    | Black             |           1147
 Dino                          | Yellow            |            452
 Dino 2010                     | Black             |            465
 Dino Attack                   | Black             |            364
 Dino Island                   | Light Gray        |            404
 Dinosaurs                     | Light Gray        |             81
 Discovery                     | Light Gray        |            893
 Disney                        | White             |           1173
 Disney Princess               | White             |           1102
 Disney's Mickey Mouse         | Red               |            104
 Divers                        | Black             |            886
 Drome Racers                  | Black             |           1717
 Duplo                         | Red               |           1292
 Easter                        | Yellow            |            380
 Educational and Dacta         | Yellow            |           1986
 eLAB                          | Black             |            293
 Elves                         | Black             |           1015
 EV3                           | Black             |            776
 Exo-Force                     | Black             |           3373
 Expert Builder                | Light Gray        |           3311
 Exploriens                    | White             |            743
 Extreme Team                  | Black             |            525
 Fabuland                      | Yellow            |            911
 Factory                       | Black             |           2515
 Fairy-Tale                    | White             |            691
 Fantasy Era                   | Light Bluish Gray |           1593
 Farm                          | Black             |           1736
 Ferrari                       | Red               |           5255
 Ferries                       | White             |           2159
 Fire                          | Red               |           5875
 FIRST LEGO League             | Black             |           8150
 Food & Drink                  | White             |            646
 Forestmen                     | Black             |            497
 Freestyle                     | Yellow            |           3277
 Friends                       | White             |           7458
 Fright Knights                | Light Gray        |            422
 Fusion                        | Tan               |            113
 Futuron                       | White             |           1299
 Galaxy Squad                  | Black             |            774
 Game                          | Black             |           2220
 Gas Station                   | White             |            389
 Gear                          | White             |            534
 Gears                         | Red               |            454
 Ghostbusters                  | Black             |            117
 Glatorian                     | Black             |             86
 Glatorian Legends             | Black             |             91
 Goblet of Fire                | Black             |            434
 Golden Land                   | Dark Pink         |             80
 Gravity Games                 | White             |            143
 Guardians of the Galaxy       | Black             |            463
 Halloween                     | Black             |            362
 Harbor                        | Black             |           2309
 Harry Potter                  | Black             |           1578
 Heroes                        | Black             |            627
 Hero Factory                  | Black             |            412
 HO 1:87 Vehicles              | Black             |             24
 Hobby Sets                    | Black             |           1907
 Hockey                        | Black             |            421
 Holiday                       | Brown             |            114
 Homemaker                     | White             |           1532
 Hospital                      | White             |           1769
 Hydronauts                    | Black             |            325
 Ice Planet 2002               | Blue              |            337
 Imperial Armada               | Black             |            251
 Imperial Soldiers             | Black             |            397
 Indians                       | Black             |            371
 Insectoids                    | Black             |            498
 Inventor                      | Black             |            274
 Iron Man                      | Black             |            139
 Islanders                     | Black             |            386
 Island Xtreme Stunts          | Black             |            291
 Jumbo Bricks                  | Blue              |             13
 Jungle                        | Black             |            417
 Jungle Rescue                 | Reddish Brown     |            250
 Juniors                       | White             |            568
 Jurassic Park III             | Black             |             91
 Jurassic World                | Dark Bluish Gray  |            609
 Justice League                | Black             |            322
 Key Chain                     | White             |             10
 Kingdom of the Crystal Skull  | Dark Bluish Gray  |            541
 Kingdoms                      | Light Bluish Gray |           1089
 Knights Kingdom I             | Black             |            621
 Knights Kingdom II            | Black             |           1691
 Lamborghini                   | Black             |            675
 Last Crusade                  | Light Bluish Gray |            203
 Launch Command                | White             |            355
 Learning                      | White             |            428
 Legend Beasts                 | White             |            123
 Legends of Chima              | Black             |           3377
 LEGO Brand Store              | Black             |           1415
 LEGO Exclusive                | Black             |              6
 LEGO Ideas and CUUSOO         | Light Bluish Gray |           1837
 Legoland                      | White             |            199
 Legoland Parks                | Yellow            |            504
 Life On Mars                  | Light Gray        |            483
 Lion Knights                  | Light Gray        |            777
 Mars Mission                  | Black             |           1727
 Marvel                        | Black             |            605
 Master Building Academy       | Black             |           2225
 Matoran of Light              | Dark Bluish Gray  |             19
 Matoran of Mahri Nui          | Black             |             53
 Matoran of Mata Nui           | Black             |             61
 Matoran of Metru Nui          | Dark Bluish Gray  |             66
 Matoran of Voya Nui           | Black             |             34
 Mindstorms                    | Black             |            836
 Minecraft                     | Light Bluish Gray |           2303
 Mini                          | Light Bluish Gray |           1090
