             name              |        avg_parts        
-------------------------------+-------------------------
 Wooden Box Set                | -1.00000000000000000000
 Samsonite                     |  0.00000000000000000000
 Key Chain                     |  0.18181818181818181818
 Imperial Guards               |  1.00000000000000000000
 Power Functions               |      1.8823529411764706
 Control Lab                   |      2.0000000000000000
 Planet Series 1               |      3.0000000000000000
 Western                       |      3.0000000000000000
 Value Packs                   |      3.1666666666666667
 Minifig Pack                  |      3.5000000000000000
 Classic Town                  |      3.8181818181818182
 Indiana Jones                 |      4.0000000000000000
 Series 14 Minifigures         |      5.3684210526315789
 The Hobbit                    |      5.5000000000000000
 DFB Minifigures               |      5.6470588235294118
 Series 15 Minifigures         |      6.3684210526315789
 Series 16 Minifigures         |      7.1764705882352941
 Tohunga                       |      8.0000000000000000
 The Simpsons                  |      8.7894736842105263
 Series 10 Minifigures         |      9.3500000000000000
 Series 5 Minifigures          |      9.5789473684210526
 Series 9 Minifigures          |      9.5789473684210526
 The LEGO Movie Series         |      9.5789473684210526
 Series 1 Minifigures          |      9.7368421052631579
 Series 3 Minifigures          |      9.7368421052631579
 Series 2 Minifigures          |      9.7894736842105263
 Series 11 Minifigures         |      9.8421052631578947
 Advent Sub-Set                |      9.8854166666666667
 Series 4 Minifigures          |     10.0000000000000000
 Belville                      |     10.0689655172413793
 Series 13 Minifigures         |     10.1052631578947368
 Series 6 Minifigures          |     10.1052631578947368
 Series 12 Minifigures         |     10.2105263157894737
 Series 7 Minifigures          |     10.2631578947368421
 Series 8 Minifigures          |     10.2631578947368421
 Team GB                       |     11.0000000000000000
 Jumbo Bricks                  |     11.0000000000000000
 Gear                          |     11.1260162601626016
 Scala                         |     12.8461538461538462
 Series 17 Minifigures         |     12.8888888888888889
 Xalax                         |     13.0625000000000000
 Matoran of Light              |     13.1428571428571429
 Agori                         |     14.8333333333333333
 Adventurers                   |     15.0000000000000000
 The Lord of the Rings         |     17.2500000000000000
 Matoran of Mata Nui           |     18.4615384615384615
 Stars                         |     18.8333333333333333
 Ben 10                        |     19.0000000000000000
 Aquazone                      |     20.0000000000000000
 Collectible Minifigures       |     20.6875000000000000
 Bohrok                        |     20.9230769230769231
 Matoran of Voya Nui           |     21.0000000000000000
 Dinosaurs                     |     23.0714285714285714
 Turaga                        |     23.6923076923076923
 HO 1:87 Vehicles              |     24.0000000000000000
 Matoran of Metru Nui          |     24.4285714285714286
 Bohrok Va                     |     24.5454545454545455
 4 Juniors                     |     26.0000000000000000
 Service Packs                 |     26.6570247933884298
 Vahki                         |     26.7333333333333333
 Rahaga                        |     28.0000000000000000
 Books                         |     28.1052631578947368
 Basic Model                   |     28.1086956521739130
 Clikits                       |     28.4761904761904762
 Toa Metru                     |     30.9090909090909091
 Fabuland                      |     30.9518072289156627
 Toa Nuva                      |     31.3750000000000000
 Matoran of Mahri Nui          |     31.4000000000000000
 Train                         |     31.6853932584269663
 Bohrok-Kal                    |     32.5000000000000000
 Rahkshi                       |     33.4400000000000000
 Toa                           |     34.0769230769230769
 LEGO Exclusive                |     36.0000000000000000
 Piraka                        |     36.4285714285714286
 Toa Hagah                     |     36.6666666666666667
 Toa Hordika                   |     37.5000000000000000
 Toa Inika                     |     38.7500000000000000
 Animals                       |     39.0000000000000000
